"osm_id";"ort";"plz";"landkreis";"bundesland"
62422;"Berlin";10115;;"Berlin"
62422;"Berlin";10117;;"Berlin"
62422;"Berlin";10119;;"Berlin"
62422;"Berlin";10178;;"Berlin"
62422;"Berlin";10179;;"Berlin"
62422;"Berlin";10243;;"Berlin"
62422;"Berlin";10245;;"Berlin"
62422;"Berlin";10247;;"Berlin"
62422;"Berlin";10249;;"Berlin"
62422;"Berlin";10315;;"Berlin"
62422;"Berlin";10317;;"Berlin"
62422;"Berlin";10318;;"Berlin"
62422;"Berlin";10319;;"Berlin"
62422;"Berlin";10365;;"Berlin"
62422;"Berlin";10367;;"Berlin"
62422;"Berlin";10369;;"Berlin"
62422;"Berlin";10405;;"Berlin"
62422;"Berlin";10407;;"Berlin"
62422;"Berlin";10409;;"Berlin"
62422;"Berlin";10435;;"Berlin"
62422;"Berlin";10437;;"Berlin"
62422;"Berlin";10439;;"Berlin"
62422;"Berlin";10551;;"Berlin"
62422;"Berlin";10553;;"Berlin"
62422;"Berlin";10555;;"Berlin"
62422;"Berlin";10557;;"Berlin"
62422;"Berlin";10559;;"Berlin"
62422;"Berlin";10585;;"Berlin"
62422;"Berlin";10587;;"Berlin"
62422;"Berlin";10589;;"Berlin"
62422;"Berlin";10623;;"Berlin"
62422;"Berlin";10625;;"Berlin"
62422;"Berlin";10627;;"Berlin"
62422;"Berlin";10629;;"Berlin"
62422;"Berlin";10707;;"Berlin"
62422;"Berlin";10709;;"Berlin"
62422;"Berlin";10711;;"Berlin"
62422;"Berlin";10713;;"Berlin"
62422;"Berlin";10715;;"Berlin"
62422;"Berlin";10717;;"Berlin"
62422;"Berlin";10719;;"Berlin"
62422;"Berlin";10777;;"Berlin"
62422;"Berlin";10779;;"Berlin"
62422;"Berlin";10781;;"Berlin"
62422;"Berlin";10783;;"Berlin"
62422;"Berlin";10785;;"Berlin"
62422;"Berlin";10787;;"Berlin"
62422;"Berlin";10789;;"Berlin"
62422;"Berlin";10823;;"Berlin"
62422;"Berlin";10825;;"Berlin"
62422;"Berlin";10827;;"Berlin"
62422;"Berlin";10829;;"Berlin"
62422;"Berlin";10961;;"Berlin"
62422;"Berlin";10963;;"Berlin"
62422;"Berlin";10965;;"Berlin"
62422;"Berlin";10967;;"Berlin"
62422;"Berlin";10969;;"Berlin"
62422;"Berlin";10997;;"Berlin"
62422;"Berlin";10999;;"Berlin"
62422;"Berlin";12043;;"Berlin"
62422;"Berlin";12045;;"Berlin"
62422;"Berlin";12047;;"Berlin"
62422;"Berlin";12049;;"Berlin"
62422;"Berlin";12051;;"Berlin"
62422;"Berlin";12053;;"Berlin"
62422;"Berlin";12055;;"Berlin"
62422;"Berlin";12057;;"Berlin"
62422;"Berlin";12059;;"Berlin"
62422;"Berlin";12099;;"Berlin"
62422;"Berlin";12101;;"Berlin"
62422;"Berlin";12103;;"Berlin"
62422;"Berlin";12105;;"Berlin"
62422;"Berlin";12107;;"Berlin"
62422;"Berlin";12109;;"Berlin"
62422;"Berlin";12157;;"Berlin"
62422;"Berlin";12159;;"Berlin"
62422;"Berlin";12161;;"Berlin"
62422;"Berlin";12163;;"Berlin"
62422;"Berlin";12165;;"Berlin"
62422;"Berlin";12167;;"Berlin"
62422;"Berlin";12169;;"Berlin"
62422;"Berlin";12203;;"Berlin"
62422;"Berlin";12205;;"Berlin"
62422;"Berlin";12207;;"Berlin"
62422;"Berlin";12209;;"Berlin"
62422;"Berlin";12247;;"Berlin"
62422;"Berlin";12249;;"Berlin"
62422;"Berlin";12277;;"Berlin"
62422;"Berlin";12279;;"Berlin"
62422;"Berlin";12305;;"Berlin"
62422;"Berlin";12307;;"Berlin"
62422;"Berlin";12309;;"Berlin"
62422;"Berlin";12347;;"Berlin"
62422;"Berlin";12349;;"Berlin"
62422;"Berlin";12351;;"Berlin"
62422;"Berlin";12353;;"Berlin"
62422;"Berlin";12355;;"Berlin"
62422;"Berlin";12357;;"Berlin"
62422;"Berlin";12359;;"Berlin"
62422;"Berlin";12435;;"Berlin"
